news_type,true,fav,important,anger,anxiety,funny,informative,familiar,demrep_c,concordant,age,gender,education,income,social_conserv,economic_conserv,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
1,1,6,5,2,1,1,4,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,2,4,1,1,2,3,4,1,6,4,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,6,5,4,2,1,4,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,5,2,1,1,1,2,1,6,5,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,6,6,2,2,3,4,4,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,6,1,1,1,4,4,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,2,4,1,1,2,3,1,6,2,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,1,5,1,2,3,3,1,6,1,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
0,2,1,4,2,1,1,3,1,6,1,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
0,5,2,5,1,2,1,5,1,6,2,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
0,1,5,5,4,1,1,3,1,6,5,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
0,2,3,5,3,1,1,2,1,6,3,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
2,2,6,2,2,1,1,4,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
2,1,6,4,3,3,1,4,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
2,2,6,4,1,1,2,2,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
2,2,6,6,4,2,1,3,1,6,6,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
2,1,1,6,3,4,1,2,1,6,1,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
2,1,1,6,3,2,2,3,1,6,1,40.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
1,1,6,6,1,1,1,3,1,5,6,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
1,1,6,6,3,4,1,3,1,5,6,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
1,1,1,1,2,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
1,1,1,2,2,3,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
1,1,6,6,1,1,1,4,1,5,6,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
0,1,1,4,1,1,1,3,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
0,1,6,5,1,4,1,3,1,5,6,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
0,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
0,1,5,4,1,1,1,1,1,5,5,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,4,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,1,1,1,1,2,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,1,1,1,1,1,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
2,1,1,4,1,2,1,3,1,5,1,62.0,1.0,1.0,0.0,5,5,0,1,0,0,0,0,0
1,2,3,3,2,2,5,2,3,6,3,64.0,0.0,1.0,1.0,4,5,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,6,1,64.0,0.0,1.0,1.0,4,5,0,1,0,0,0,0,0
