news_type,fav,true,important,concordant,familiar,boring,positive,negative,sensational,Party,demrep_c,social_conserv,economic_conserv,Age,Gender,Education,income,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
1,5,2,4,2,5,5,4,5,4,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
1,2,4,4,5,2,4,5,2,5,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
1,3,5,5,4,3,5,3,4,5,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
1,6,3,3,1,3,5,4,4,5,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
1,5,2,5,2,4,3,5,4,5,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
1,1,4,5,6,4,4,4,4,5,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
0,5,2,4,2,2,6,5,5,4,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
0,2,4,5,5,4,4,2,5,4,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
0,4,4,4,3,5,5,2,3,5,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
0,1,5,4,6,4,1,4,5,4,2.0,1,3,2,28.0,1,5.0,10,1,1,0,0,0,0,0
1,1,6,6,6,6,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
1,2,6,6,5,6,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,6,6,6,5,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,2,6,6,5,6,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,5,5,6,5,5,5,5,5,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,6,5,6,5,6,5,5,5,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,6,6,6,6,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,6,6,6,5,6,5,5,5,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,6,6,6,6,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
0,1,6,6,6,6,6,6,6,6,1.0,2,3,3,32.0,2,3.0,2,1,0,1,0,0,0,0
1,4,5,4,4,2,3,4,2,5,2.0,6,5,3,26.0,1,1.0,1,1,1,0,0,0,0,0
1,4,6,4,4,4,4,5,4,5,2.0,6,5,3,26.0,1,1.0,1,1,1,0,0,0,0,0
1,4,4,3,4,6,3,6,1,5,2.0,6,5,3,26.0,1,1.0,1,1,1,0,0,0,0,0
1,4,6,1,4,4,4,2,5,5,2.0,6,5,3,26.0,1,1.0,1,1,1,0,0,0,0,0
